Name,Formula,ChEBI,Molecular_weight,Ontology,Uptake_significance,week3_1,week3_2,week3_3,week3_4,week6_1,week6_2,week6_3,week6_4,week9_1,week9_2,week9_3,week9_4,week12_1,week12_2,week12_3,week12_4
2-aminoisobutyric acid ,C4H9NO2,27971,103.1198,amino acid,yes,1.35E+07,1.73E+07,1.92E+07,2.18E+07,2.63E+07,2.82E+07,2.51E+07,3.18E+07,2.08E+07,2.12E+07,1.99E+07,2.81E+07,1.30E+07,1.43E+07,1.81E+07,1.09E+07
"2,3-Dihydroxybenzoic acid",C7H6O4,18026,154.1201,organic acid,no,1.56E+08,7.28E+07,6.53E+07,7.77E+07,1.30E+08,3.25E+07,8.11E+07,4.77E+07,9.53E+07,5.84E+07,3.93E+07,2.29E+08,3.62E+07,4.69E+07,2.69E+07,1.45E+07
3-Dehydroshikimic acid,C7H8O5,30918,172.1354,organic acid,yes,1.92E+06,2.24E+06,2.57E+06,2.06E+06,2.10E+06,2.19E+06,2.49E+06,2.33E+06,3.24E+06,1.80E+06,1.96E+06,3.68E+06,48500,2.17E+06,2.04E+06,37600
5-aminovaleric acid,C5H11NO2,15887,117.14638,amino acid,yes,350000,219000,144000,222000,448000,452000,443000,682000,998000,754000,582000,1.84E+06,16500,258000,426000,218000
abscisic acid,C15H20O4 ,2365,264.3169,organic acid,no,789000,746000,275000,1.07E+06,1.15E+06,880000,365000,1.50E+06,1.58E+06,1.22E+06,680000,1.33E+06,3.19E+06,3.72E+06,1.51E+06,2.90E+06
adenine,C5H5N5,16708,135.1269,nucleotide,no,3.04E+09,4.00E+09,2.61E+09,1.92E+09,7.04E+09,6.46E+09,6.87E+09,6.66E+09,4.17E+09,3.91E+09,8.16E+09,1.01E+10,3.01E+08,1.34E+08,5.66E+08,2.36E+08
adenosine,C10H13N5O4,16335,267.24152,nucleotide,no,1.91E+09,2.52E+09,1.99E+09,1.94E+09,1.79E+09,2.08E+09,1.55E+09,1.59E+09,8.85E+08,1.59E+09,1.25E+09,3.08E+09,2.84E+08,2.69E+08,7.86E+08,2.73E+08
alpha-alanine ,C3H7NO2,15570,89.09322,amino acid,no,2.60E+08,2.36E+08,2.97E+08,2.66E+08,1.47E+09,1.25E+09,1.01E+09,1.33E+09,6.26E+08,8.02E+08,1.18E+09,2.58E+09,3.03E+06,2.57E+06,1.70E+08,2.84E+07
alpha-ketoglutaric acid ,C5H6O5,30915,146.0981,organic acid,yes,1.08E+07,1.79E+06,1.09E+06,315000,2.45E+06,1.38E+06,1.59E+06,1.62E+06,1.17E+06,1.55E+06,741000,1.46E+07,21500,4910,4.65E+06,0
arginine,C6H14N4O2,29016,174.20112,amino acid,no,1.81E+09,4.69E+08,3.61E+08,3.96E+08,1.54E+09,1.73E+09,8.75E+08,1.12E+09,1.39E+09,1.81E+09,2.78E+09,4.58E+09,1.86E+07,7.53E+06,1.78E+08,9.87E+06
asparagine ,C4H8N2O3,22653,132.118,amino acid,no,1.95E+08,7.76E+07,2.23E+08,7.63E+07,2.09E+08,2.82E+08,2.41E+08,3.16E+08,1.03E+09,1.96E+09,9.13E+08,5.77E+09,704000,1.49E+06,8.90E+08,1.00E+06
betonicine,C7H13NO3,85533,159.183,other,yes,7.74E+06,4.76E+06,1.25E+07,8.32E+06,1.02E+07,9.64E+06,1.39E+07,1.23E+07,2.82E+07,2.80E+07,1.44E+07,7.94E+07,4.64E+07,6.90E+07,1.87E+07,3.70E+07
biotin ,C10H16N2O3S,15956,244.31172,organic acid,no,211000,294000,274000,254000,2.52E+06,8.56E+06,1.43E+06,1.04E+07,397000,657000,1.23E+06,1.72E+06,186000,77400,109000,643000
caffeic acid,C9H8O4,36281,180.1574,organic acid,no,4.11E+08,1.13E+08,3.60E+08,1.77E+08,5.05E+08,1.91E+08,7.32E+08,1.98E+08,3.92E+08,1.89E+08,6.58E+08,9.83E+07,1.39E+08,2.26E+08,2.25E+08,1.79E+08
choline,C5H13NO,15354,104.1708,other,yes,8.41E+09,5.58E+09,7.24E+09,7.59E+09,1.43E+10,1.58E+10,1.22E+10,1.60E+10,1.98E+10,1.67E+10,1.73E+10,2.50E+10,1.58E+09,1.04E+10,1.36E+10,3.55E+09
cis-aconitic acid,C6H6O6,32805,174.10824,organic acid,yes,9.15E+06,497000,1.87E+07,50900,216000,47900,2.35E+06,85900,5.14E+06,8.17E+06,266000,4.48E+07,4350,137000,66300,0
cytidine,C9H13N3O5,17562,243.21674,nucleotide,yes,5.57E+07,8.35E+07,5.59E+07,6.23E+07,1.51E+08,1.78E+08,1.43E+08,1.76E+08,1.14E+08,1.32E+08,2.23E+08,2.64E+08,3.11E+06,2.13E+06,1.46E+07,1.79E+06
rhamnose,C6H12O5,26546,164.157,sugar,no,3.25E+06,3.51E+06,4.73E+06,3.39E+06,3.94E+06,4.03E+06,4.78E+06,4.33E+06,7.02E+06,4.55E+06,3.63E+06,6.81E+06,8.97E+06,7.10E+06,1.88E+07,7.12E+06
deoxyguanosine,C10H13N5O4,17172,267.2413,nucleotide,yes,8.06E+06,2.71E+07,6.50E+06,8.38E+06,2.39E+07,3.62E+07,2.16E+07,3.13E+07,1.45E+07,2.08E+07,4.06E+07,5.04E+07,652000,452000,2.77E+06,261000
maltose,C12H22O11,17306,342.29648,sugar,no,7.74E+07,3.42E+07,9.37E+07,5.71E+07,1.07E+08,7.33E+07,1.03E+08,6.90E+07,1.87E+08,1.62E+08,2.31E+08,2.87E+08,2.14E+06,4.69E+06,8.06E+07,3.50E+06
sucrose,C12H22O11,17992,342.29648,sugar,no,2.87E+07,1.91E+07,7.44E+07,6.31E+07,1.71E+07,1.39E+07,1.82E+07,1.57E+07,7.70E+06,4.17E+06,7.67E+06,1.13E+07,117000,753000,5.08E+06,296000
fumaric acid ,C4H4O4,18012,116.0722,organic acid,no,1.61E+06,1.15E+06,2.52E+06,564000,4.13E+06,4.63E+06,4.42E+06,4.46E+06,7.15E+06,6.68E+06,2.83E+06,2.07E+07,0,7290,6.14E+06,10600
gamma-amino-n-butyric acid ,C4H9NO2,16865,103.1198,amino acid,no,1.56E+09,1.15E+09,1.98E+09,1.77E+09,3.16E+09,2.32E+09,2.27E+09,2.46E+09,2.24E+09,2.13E+09,2.68E+09,5.56E+09,7.41E+06,2.13E+07,8.14E+08,2.66E+08
glycine ,C2H5NO2,15428,75.06664,amino acid,no,8.46E+06,9.25E+06,8.27E+06,6.42E+06,2.12E+07,1.89E+07,1.65E+07,1.98E+07,1.12E+07,1.99E+07,1.99E+07,4.91E+07,506000,509000,6.84E+06,832000
glycine betaine,"	C5H11NO2",17750,117.14638,other,no,4.93E+09,4.63E+09,2.86E+09,5.23E+09,5.94E+09,1.02E+10,8.03E+09,1.09E+10,1.23E+10,1.07E+10,6.76E+09,1.23E+10,1.56E+10,1.73E+10,4.79E+09,2.18E+10
guanine,C5H5N5O,16235,151.126,nucleotide,no,4.50E+07,5.31E+07,3.23E+07,2.74E+07,2.07E+08,2.25E+08,2.32E+08,2.28E+08,1.70E+08,1.72E+08,4.35E+08,3.82E+08,1.65E+07,4.82E+07,2.84E+07,2.45E+08
guanosine,C10H13N5O5,16750,283.24092,nucleotide,yes,4.86E+07,7.52E+07,4.43E+07,5.25E+07,5.61E+07,6.99E+07,5.39E+07,6.57E+07,2.96E+07,3.71E+07,4.78E+07,9.69E+07,2.95E+06,1.40E+06,1.08E+07,1.73E+06
fructose,C6H12O6,15824,180.15588,sugar,no,1.44E+08,3.32E+07,2.10E+08,7.37E+07,2.40E+08,8.68E+07,5.36E+08,8.22E+07,1.67E+09,2.63E+08,1.59E+08,7.50E+08,109000,8.34E+08,1.17E+07,1.30E+06
glucose,C6H12O6,17234,180.15588,sugar,no,1.45E+08,2.15E+07,6.87E+07,2.62E+07,3.93E+07,1.71E+07,9.52E+07,1.84E+07,1.30E+08,3.96E+07,2.90E+07,1.20E+08,717000,3.60E+07,4.85E+06,673000
histidine,C6H9N3O2,27570,155.15468,amino acid,no,7.36E+06,6.75E+06,3.46E+06,3.64E+06,4.45E+07,5.39E+07,2.87E+07,5.63E+07,1.87E+07,4.59E+07,3.70E+07,8.64E+07,8620,6980,2.09E+06,21000
homoserine ,C4H9NO3,30653,119.1192,amino acid,no,1.02E+08,2.82E+08,5.07E+07,3.16E+08,1.74E+08,1.70E+08,1.09E+08,1.48E+08,6.57E+07,1.47E+08,9.07E+07,1.91E+08,2.49E+06,2.94E+06,4.97E+07,3.89E+06
hypoxanthine,C5H4N4O,17368,136.11162,nucleotide,no,3.05E+08,4.18E+08,1.89E+08,2.29E+08,1.69E+09,1.71E+09,1.34E+09,1.52E+09,7.84E+08,7.58E+08,1.25E+09,1.12E+09,1.16E+08,1.50E+08,2.38E+08,8.52E+08
indole-3-acetic acid,C10H9NO2 ,16411,175.184,auxin,yes,1.08E+06,3.82E+06,812000,1.38E+06,4.08E+06,5.98E+06,1.45E+06,5.70E+06,1.05E+07,5.20E+06,2.86E+06,6.19E+06,6.49E+07,1.08E+08,8.15E+06,1.21E+08
inosine ,C10H12N4O5,17596,268.2261,nucleotide,no,5.97E+06,8.59E+06,3.00E+06,3.17E+07,1.19E+07,2.34E+07,1.22E+07,1.52E+07,1.96E+07,6.74E+06,9.52E+06,7.40E+06,5.74E+06,2.93E+06,4.42E+06,1.24E+07
isoleucine ,C6H13NO2,17191,131.175,amino acid,no,4.47E+08,2.76E+08,2.66E+08,2.80E+08,9.18E+08,1.01E+09,7.22E+08,1.10E+09,6.20E+08,7.58E+08,8.81E+08,1.65E+09,1.06E+07,1.49E+07,1.96E+08,2.54E+07
jasmonic acid,C12H18O3 ,18292,210.2695,organic acid,no,5.16E+06,8.32E+06,4.53E+06,6.30E+06,2.91E+07,2.57E+07,3.47E+07,3.04E+07,8.32E+06,9.16E+06,8.33E+06,1.05E+07,4.07E+06,4.81E+06,6.29E+06,3.94E+06
L-aspartic acid,C4H7NO4,17053,133.1027,amino acid,no,2.75E+07,1.11E+07,1.01E+07,3.09E+06,9.16E+07,7.08E+07,5.44E+07,8.69E+07,7.33E+06,5.80E+07,2.82E+07,1.22E+08,15200,78100,2.99E+06,98700
L-carnitine,C7H15NO3,17126,161.19894,amino acid,no,7.96E+07,7.17E+07,6.96E+07,9.15E+07,1.10E+08,1.14E+08,8.10E+07,1.20E+08,2.85E+08,2.17E+08,1.41E+08,5.31E+08,8.89E+07,1.06E+08,1.29E+08,8.53E+07
L-citrulline,C6H13N3O3,16349,175.18584,amino acid,yes,1.39E+07,1.50E+07,1.04E+07,1.21E+07,2.92E+07,3.36E+07,1.99E+07,3.31E+07,8.41E+06,1.26E+07,9.70E+06,4.30E+07,799000,747000,4.16E+06,1.15E+06
L-glutamate ,C5H9NO4,16015,147.1293,amino acid,no,6.54E+08,4.36E+08,5.26E+08,1.87E+08,2.16E+09,1.19E+09,1.17E+09,1.41E+09,1.45E+08,5.59E+08,4.88E+08,1.18E+09,656000,750000,3.06E+07,1.58E+06
L-hydroxyproline,C5H9NO3,18240,131.1299,amino acid,yes,1.01E+07,7.98E+06,1.03E+07,1.36E+07,1.69E+07,1.56E+07,1.48E+07,1.77E+07,2.07E+07,1.87E+07,1.44E+07,4.08E+07,1.38E+06,2.15E+06,1.08E+07,4.72E+06
L-pyroglutamic acid,C5H7NO3,18183,129.114,amino acid,no,6.79E+07,1.04E+08,1.13E+08,4.49E+07,3.46E+07,8.19E+07,8.65E+07,9.13E+07,3.70E+08,1.69E+08,9.17E+07,3.63E+08,3.49E+06,9.01E+08,9.70E+06,4.44E+07
L-tyrosine ,C9H11NO3,17895,181.18858,amino acid,no,1.61E+08,1.24E+08,1.53E+08,1.18E+08,3.86E+08,4.20E+08,3.40E+08,4.45E+08,2.35E+08,2.87E+08,3.61E+08,6.47E+08,2.41E+06,1.60E+06,7.85E+07,7.66E+06
lactic acid,C3H6O3,422,90.07794,organic acid,yes,3.55E+08,3.41E+08,3.81E+08,3.10E+08,1.57E+09,1.13E+09,1.33E+09,1.34E+09,1.05E+09,1.17E+09,1.50E+09,3.26E+09,1.77E+07,2.16E+07,4.08E+08,1.38E+08
leucine,C6H13NO2,25017,131.17296,amino acid,no,9.00E+08,5.28E+08,5.60E+08,4.91E+08,1.76E+09,1.84E+09,1.37E+09,1.86E+09,1.03E+09,1.33E+09,1.89E+09,3.07E+09,2.01E+07,1.73E+07,2.99E+08,3.73E+07
linoleic acid,C18H32O2,17351,280.4455,fatty acid,no,9.39E+06,1.11E+07,9.53E+06,9.51E+06,3.81E+07,4.28E+07,2.38E+07,5.89E+07,1.84E+07,1.08E+07,3.16E+07,2.99E+07,1.10E+07,1.71E+07,3.46E+07,1.34E+07
lysine,C6H14N2O2,25094,146.18764,amino acid,no,1.51E+08,9.32E+07,6.44E+07,7.87E+07,4.07E+08,6.17E+08,3.44E+08,4.52E+08,3.32E+08,5.11E+08,8.29E+08,1.30E+09,2.41E+06,2.12E+06,4.37E+07,2.03E+06
malic acid,C4H6O5,6650,134.08744,organic acid,no,1.00E+08,2.98E+07,1.83E+08,1.04E+07,8.25E+07,1.39E+08,2.14E+08,5.49E+07,4.55E+08,3.71E+08,9.16E+07,1.12E+09,4.16E+06,2.26E+06,1.50E+08,486000
malonic acid ,C3H4O4,30794,104.06146,organic acid,no,1.52E+07,1.80E+07,2.31E+07,6.83E+06,7.85E+06,8.56E+06,1.21E+07,9.11E+06,1.13E+07,1.29E+07,8.23E+06,6.42E+07,908000,1.78E+06,1.26E+07,1.62E+06
methionine ,C5H11NO2S,16811,149.21238,amino acid,no,4.29E+07,2.34E+07,6.71E+06,2.60E+07,1.84E+08,2.13E+08,1.43E+08,1.85E+08,8.37E+07,1.37E+08,1.81E+08,3.14E+08,941000,441000,2.00E+07,1.81E+06
N-acetyl-D-glucosamine ,C8H15NO6,506227,221.2078,sugar,yes,6.17E+06,8.94E+06,1.28E+07,1.22E+07,9.57E+06,8.88E+06,8.33E+06,8.93E+06,3.82E+06,2.90E+06,1.27E+07,1.09E+07,532000,1.13E+06,1.63E+06,331000
nicotinic acid,C6H5NO2,15940,123.10944,organic acid,yes,2.40E+07,2.89E+07,2.13E+07,1.91E+07,1.04E+08,9.76E+07,6.98E+07,1.03E+08,1.15E+08,1.48E+08,1.49E+08,3.27E+08,1.00E+07,1.37E+07,4.46E+07,1.60E+07
ornithine,C5H12N2O2,18257,132.16106,amino acid,no,1.16E+07,6.63E+06,4.25E+06,4.87E+06,2.77E+07,5.32E+07,4.21E+07,5.12E+07,7.03E+06,9.56E+06,1.62E+07,2.48E+07,699000,441000,1.96E+06,464000
pantothenic acid ,C9H17NO5,7916,219.23502,organic acid,no,1.63E+07,2.16E+07,3.52E+07,2.03E+07,2.82E+07,3.13E+07,1.21E+07,2.94E+07,4.73E+07,6.91E+07,5.59E+07,2.12E+08,254000,394000,2.31E+07,400000
arabinose,C5H10O5,22599,150.1299,sugar,no,1.12E+07,1.58E+07,1.49E+07,9.75E+06,1.06E+07,9.82E+06,1.36E+07,9.16E+06,1.50E+07,1.48E+07,2.39E+07,3.14E+07,767000,4.47E+06,5.01E+06,1.53E+06
D-ribose,C5H10O5,16988,150.1299,sugar,yes,1.21E+07,6.43E+06,1.29E+07,8.06E+06,1.69E+07,1.24E+07,1.68E+07,1.79E+07,1.58E+07,1.11E+07,2.54E+07,4.00E+07,400000,1.78E+06,2.38E+06,353000
xylose,C5H10O5,18222,150.13,sugar,no,5.71E+06,3.63E+06,4.83E+06,1.61E+06,7.46E+06,3.77E+06,5.09E+06,5.33E+06,6.31E+06,9.53E+06,9.72E+06,6.66E+07,0,216000,2.11E+06,8240
phenylalanine ,C9H11NO2,28044,165.18918,amino acid,no,6.41E+08,3.58E+08,3.66E+08,3.08E+08,1.72E+09,1.99E+09,1.32E+09,2.19E+09,9.45E+08,1.14E+09,1.46E+09,2.46E+09,9.99E+06,9.00E+06,2.52E+08,2.47E+07
proline ,C5H9NO2,26271,115.1305,amino acid,no,2.04E+08,1.79E+08,2.18E+08,2.04E+08,6.34E+08,6.35E+08,5.60E+08,6.32E+08,1.24E+09,5.45E+08,5.77E+08,1.76E+09,1.04E+07,1.87E+07,1.23E+08,1.86E+08
salicylic acid,C7H6O3,16914,138.1207,organic acid,yes,7.93E+08,4.35E+08,3.97E+08,5.44E+08,1.74E+09,1.04E+09,1.30E+09,1.43E+09,4.75E+08,4.00E+08,3.96E+08,7.52E+08,2.27E+08,1.85E+08,3.05E+08,2.60E+08
serine ,C3H7NO3,17822,105.09262,amino acid,no,6.87E+07,5.79E+07,6.51E+07,4.47E+07,2.57E+08,2.52E+08,1.56E+08,2.78E+08,1.76E+08,4.01E+08,2.73E+08,6.41E+08,776000,919000,2.55E+08,2.19E+06
shikimic acid ,C7H10O5,16119,174.1513,organic acid,yes,1.81E+07,1.50E+07,2.84E+07,2.20E+07,2.16E+07,2.09E+07,2.08E+07,2.34E+07,3.76E+07,3.53E+07,2.64E+07,7.74E+07,408000,8.43E+06,2.70E+07,287000
sinapyl alcohol,C11H14O4,28813,210.2265,organic acid,no,1.47E+06,2.10E+06,1.52E+06,1.79E+06,1.66E+06,1.65E+06,1.58E+06,1.18E+06,1.24E+06,1.12E+06,1.75E+06,1.50E+06,3.33E+06,4.75E+06,2.45E+06,2.32E+06
stachyhydrine,C7H13NO2,86534,143.1836,other,no,3.47E+07,3.98E+07,6.08E+07,4.96E+07,1.74E+08,1.86E+08,2.25E+08,1.98E+08,1.84E+09,4.05E+08,2.38E+08,6.59E+08,1.39E+10,7.13E+09,4.95E+08,9.59E+09
succinic acid,C4H6O4,15741,118.088,organic acid,no,1.70E+08,1.35E+08,2.87E+08,5.32E+07,5.02E+08,4.18E+08,4.98E+08,4.84E+08,1.31E+08,4.03E+08,3.91E+08,8.75E+08,3.79E+06,3.38E+06,2.27E+08,3.72E+06
inositol,C6H12O6,17268,180.15588,sugar,no,2.54E+07,1.56E+07,3.22E+07,2.50E+07,4.14E+07,5.51E+07,4.27E+07,5.67E+07,3.42E+07,4.22E+07,4.53E+07,1.25E+08,370000,5.02E+06,1.06E+07,1.39E+06
syringic acid,C9H10O5,68329,198.1727,organic acid,no,3.18E+06,1.83E+06,3.75E+06,1.37E+06,3.50E+07,1.55E+07,2.57E+07,2.24E+07,7.03E+06,2.04E+07,1.94E+07,6.38E+07,947000,542000,486000,1.93E+06
taurine,C2H7NO3S,15891,125.148,organic acid,no,4.59E+06,6.94E+06,5.23E+06,6.93E+06,1.06E+07,1.52E+07,6.29E+06,1.90E+07,7.78E+06,8.60E+06,9.76E+06,1.52E+07,3.02E+06,8.96E+06,9.12E+06,6.21E+06
thiamine,C12H17N4OS,18385,265.35574,organic acid,no,1.23E+07,3.34E+06,3.78E+06,2.22E+06,2.15E+07,2.69E+07,1.85E+07,3.01E+07,1.26E+07,2.99E+07,2.77E+07,4.61E+07,2.24E+06,945000,1.21E+06,1.33E+06
threonic acid ,C4H8O5,26984,136.103,organic acid,yes,4.42E+07,3.32E+07,2.80E+07,1.03E+07,1.15E+07,7.19E+06,1.88E+07,6.82E+06,1.37E+07,2.54E+07,4.69E+06,1.10E+08,101000,949000,1.18E+06,229000
threonine ,C4H9NO3,26986,119.119,amino acid,no,4.16E+08,4.65E+08,3.30E+08,5.64E+08,8.46E+08,6.64E+08,6.28E+08,6.60E+08,3.64E+08,6.53E+08,5.09E+08,1.14E+09,2.71E+06,3.53E+06,2.91E+08,8.17E+06
thymidine,C10H14N2O5,17748,242.2286,nucleotide,yes,1.09E+08,3.48E+08,8.27E+07,1.22E+08,2.43E+08,3.62E+08,2.18E+08,3.28E+08,2.09E+08,2.55E+08,3.81E+08,5.18E+08,4.26E+06,4.42E+06,4.62E+07,2.09E+06
trans-cinnamic acid,C9H8O2,35697,148.15862,organic acid,yes,1.51E+08,1.04E+08,3.89E+07,7.98E+07,2.24E+09,2.18E+09,1.42E+09,2.08E+09,8.47E+08,1.04E+09,1.14E+09,2.09E+09,3.95E+07,2.74E+07,3.23E+08,2.12E+08
trans-ferulic acid,C10H10O4,17620,194.184,organic acid,no,8.36E+06,6.81E+06,1.93E+07,6.31E+06,5.42E+08,1.89E+08,4.28E+08,3.29E+08,3.69E+07,1.23E+08,1.21E+08,4.36E+08,3.41E+07,2.89E+07,7.70E+06,2.10E+07
trigonelline,C7H7NO2,18123,137.13602,organic acid,no,6.60E+08,4.78E+08,5.61E+08,7.22E+08,1.05E+09,1.18E+09,6.86E+08,1.26E+09,1.68E+09,2.07E+09,1.49E+09,3.93E+09,9.77E+08,2.86E+09,1.11E+09,1.30E+09
tryptophan,C11H12N2O2,27897,204.22526,amino acid,no,4.59E+07,3.31E+07,2.95E+07,2.26E+07,1.98E+08,2.28E+08,1.78E+08,2.95E+08,2.72E+08,2.52E+08,2.29E+08,4.75E+08,770000,749000,1.03E+08,2.15E+07
uracil,C4H4N2O2,17568,112.08684,nucleotide,no,5.29E+08,4.99E+08,3.87E+08,5.12E+08,1.25E+09,1.10E+09,1.22E+09,1.06E+09,7.79E+08,8.31E+08,1.11E+09,1.85E+09,5.28E+06,3.25E+06,4.94E+08,5.97E+07
uridine,C9H12N2O6,16704,244.20146,nucleotide,no,8.25E+08,8.61E+08,8.92E+08,7.91E+08,2.23E+09,1.84E+09,1.73E+09,1.88E+09,1.01E+09,1.36E+09,2.23E+09,3.35E+09,1.80E+07,8.19E+06,1.82E+08,9.87E+06
valine ,C5H11NO2,27266,117.14638,amino acid,no,3.57E+08,2.71E+08,3.10E+08,3.12E+08,1.04E+09,1.04E+09,7.91E+08,1.20E+09,5.81E+08,6.55E+08,6.88E+08,1.67E+09,2.42E+07,4.07E+07,1.98E+08,4.44E+07
vanillic acid,C8H8O4,30816,168.14672,organic acid,no,5.72E+06,4.34E+06,4.07E+06,2.91E+06,3.69E+07,1.76E+07,2.61E+07,2.39E+07,2.08E+07,3.12E+07,2.25E+07,5.04E+07,5.24E+06,2.78E+06,8.05E+06,2.12E+07
vanillin,C8H8O3,18346,152.1473,other,yes,1.12E+07,1.03E+07,9.49E+06,1.01E+07,1.56E+08,1.18E+08,1.70E+08,3.84E+07,1.96E+07,2.24E+07,1.38E+07,3.14E+07,5.83E+07,2.99E+07,2.23E+07,3.72E+07
xanthine,C5H4N4O2,15318,152.111,nucleotide,no,6.58E+07,6.35E+07,4.67E+07,5.27E+07,4.12E+08,3.62E+08,2.90E+08,3.73E+08,1.67E+08,2.02E+08,3.31E+08,4.14E+08,2.82E+06,2.22E+06,6.70E+07,6.21E+06